"","Genome","Accession","Source.information","Topology","Taxonomy","Molecule.type","Genome.length","Number.of.proteins","Host","Date.completed","Date.updated","first.acc","n.overlaps","len.overlaps"
"1987","Propionibacterium phage Kubed","NC_027625","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29461,44,"bacteria","07/28/2015","04/10/2019","NC_027625",12,45.75
"1988","Propionibacterium phage Lauchelly","NC_027628","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29517,45,"bacteria","07/28/2015","04/10/2019","NC_027628",14,39.7857142857143
"1989","Propionibacterium phage Moyashi","NC_031003","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus', 'unclassified Pahexavirus']","DNA",29254,44,"bacteria","09/23/2016","04/10/2019","NC_031003",12,53
"1990","Propionibacterium phage MrAK","NC_027620","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29726,46,"bacteria","07/28/2015","04/10/2019","NC_027620",12,53
"1991","Propionibacterium phage Ouroboros","NC_027630","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29506,45,"bacteria","07/28/2015","04/10/2019","NC_027630",14,39.5714285714286
"1992","Propionibacterium phage P1.1","NC_018842","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29348,45,"bacteria","10/15/2012","08/13/2018","NC_018842",13,44.1538461538462
"1993","Propionibacterium phage P100D","NC_018852","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29506,47,"bacteria","10/15/2012","08/13/2018","NC_018852",14,45.7857142857143
"1994","Propionibacterium phage P100_1","NC_018840","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29612,47,"bacteria","10/15/2012","08/13/2018","NC_018840",13,42.0769230769231
"1995","Propionibacterium phage P100_A","NC_018838","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29505,45,"bacteria","10/15/2012","08/13/2018","NC_018838",15,38.4666666666667
"1996","Propionibacterium phage P101A","NC_018841","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29574,47,"bacteria","10/15/2012","08/13/2018","NC_018841",13,49.2307692307692
"1997","Propionibacterium phage P104A","NC_018845","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29371,45,"bacteria","10/15/2012","08/13/2018","NC_018845",13,42.3076923076923
"1998","Propionibacterium phage P105","NC_018849","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29202,45,"bacteria","10/15/2012","08/13/2018","NC_018849",13,49
"1999","Propionibacterium phage P14.4","NC_018839","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29729,47,"bacteria","10/15/2012","08/13/2018","NC_018839",12,52.25
"2000","Propionibacterium phage P9.1","NC_018834","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29214,45,"bacteria","10/15/2012","08/13/2018","NC_018834",13,42.3076923076923
"2001","Propionibacterium phage PA1-14","NC_028694","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus', 'unclassified Pahexavirus']","DNA",29407,45,"bacteria","12/17/2015","08/13/2018","NC_028694",10,25.8
"2002","Propionibacterium phage PA6","NC_009541","isolate:PA6","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29739,48,"bacteria","06/08/2007","08/13/2018","NC_009541",8,39.125
"2003","Propionibacterium phage PAC1","NC_028967","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus', 'unclassified Pahexavirus']","DNA",29605,42,"bacteria","01/05/2016","06/04/2019","NC_028967",10,22.8
"2004","Propionibacterium phage PAD20","NC_015454","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29074,45,"bacteria","04/27/2011","08/13/2018","NC_015454",11,22.5454545454545
"2005","Propionibacterium phage PAS50","NC_015453","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29017,46,"bacteria","04/27/2011","08/13/2018","NC_015453",11,22.5454545454545
"2006","Propionibacterium phage PFR1","NC_031076","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pulverervirus']","DNA",38071,56,"bacteria","09/23/2016","08/13/2018","NC_031076",28,14.4642857142857
"2007","Propionibacterium phage PFR2","NC_031108","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pulverervirus', 'unclassified Pulverervirus']","DNA",39640,58,"bacteria","09/23/2016","08/13/2018","NC_031108",28,11.3571428571429
"2008","Propionibacterium phage PHL009M11","NC_027336","isolate:PHL009M11","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29503,45,"bacteria","06/24/2015","08/13/2018","NC_027336",12,21
"2009","Propionibacterium phage PHL010M04","NC_022336","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus', 'unclassified Pahexavirus']","DNA",29511,45,"bacteria","09/12/2013","08/13/2018","NC_022336",10,30.4
"2010","Propionibacterium phage PHL025M00","NC_027357","isolate:PHL025M00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29496,43,"bacteria","06/24/2015","08/13/2018","NC_027357",11,22.8181818181818
"2011","Propionibacterium phage PHL030N00","NC_027373","isolate:PHL030N00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus', 'unclassified Pahexavirus']","DNA",29423,45,"bacteria","06/24/2015","08/13/2018","NC_027373",13,19.4615384615385
"2012","Propionibacterium phage PHL037M02","NC_022339","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29443,45,"bacteria","09/12/2013","05/02/2019","NC_022339",13,23.8461538461538
"2013","Propionibacterium phage PHL041M10","NC_027391","isolate:PHL041M10","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29412,45,"bacteria","06/24/2015","08/13/2018","NC_027391",12,52.5
"2014","Propionibacterium phage PHL055N00","NC_027400","isolate:PHL055N00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus', 'unclassified Pahexavirus']","DNA",29264,45,"bacteria","06/24/2015","08/13/2018","NC_027400",10,33.4
"2015","Propionibacterium phage PHL060L00","NC_022338","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29514,46,"bacteria","09/12/2013","08/13/2018","NC_022338",12,20.75
"2016","Propionibacterium phage PHL067M01","NC_027380","isolate:PHL067M01","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29377,46,"bacteria","06/24/2015","05/02/2019","NC_027380",11,22.8181818181818
"2017","Propionibacterium phage PHL067M10","NC_022335","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus', 'unclassified Pahexavirus']","DNA",29377,45,"bacteria","09/12/2013","08/13/2018","NC_022335",11,22.5454545454545
"2018","Propionibacterium phage PHL070N00","NC_027333","isolate:PHL070N00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29421,44,"bacteria","06/24/2015","08/13/2018","NC_027333",13,19.4615384615385
"2019","Propionibacterium phage PHL071N05","NC_022337","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29467,45,"bacteria","09/12/2013","08/13/2018","NC_022337",13,19.4615384615385
"2020","Propionibacterium phage PHL082M00","NC_027359","isolate:PHL082M00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus', 'unclassified Pahexavirus']","DNA",29491,47,"bacteria","06/24/2015","08/13/2018","NC_027359",13,32.6923076923077
"2021","Propionibacterium phage PHL082M03","NC_041955","isolate:PHL082M03","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29491,46,"bacteria","05/02/2019","05/02/2019","NC_041955",11,32.5454545454545
"2022","Propionibacterium phage PHL085N00","NC_027361","isolate:PHL085N00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus', 'unclassified Pahexavirus']","DNA",29454,44,"bacteria","06/24/2015","08/13/2018","NC_027361",13,26.3846153846154
"2023","Propionibacterium phage PHL092M00","NC_027385","isolate:PHL092M00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29261,45,"bacteria","06/24/2015","08/13/2018","NC_027385",10,33.8
"2024","Propionibacterium phage PHL095N00","NC_027401","isolate:PHL095N00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29751,45,"bacteria","06/24/2015","08/13/2018","NC_027401",12,21
"2025","Propionibacterium phage PHL111M01","NC_022342","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29140,45,"bacteria","09/12/2013","08/13/2018","NC_022342",12,28.25
"2026","Propionibacterium phage PHL112N00","NC_022334","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29266,46,"bacteria","09/12/2013","08/13/2018","NC_022334",10,24.7
"2027","Propionibacterium phage PHL113M01","NC_022341","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29200,44,"bacteria","09/12/2013","08/13/2018","NC_022341",10,34.3
"2028","Propionibacterium phage PHL114L00","NC_022340","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29464,46,"bacteria","09/12/2013","08/13/2018","NC_022340",10,35.6
"2029","Propionibacterium phage PHL116M00","NC_027362","isolate:PHL116M00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29394,46,"bacteria","06/24/2015","08/13/2018","NC_027362",10,24.7
"2030","Propionibacterium phage PHL117M00","NC_027403","isolate:PHL117M00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29255,45,"bacteria","06/24/2015","05/02/2019","NC_027403",10,33.4
"2031","Propionibacterium phage PHL117M01","NC_041956","isolate:PHL117M01","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29422,46,"bacteria","05/02/2019","05/02/2019","NC_041956",14,23.1428571428571
"2032","Propionibacterium phage PHL132N00","NC_027367","isolate:PHL132N00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29003,42,"bacteria","06/24/2015","08/13/2018","NC_027367",11,29
"2033","Propionibacterium phage PHL141N00","NC_027389","isolate:PHL141N00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29494,45,"bacteria","06/24/2015","08/13/2018","NC_027389",12,28.25
"2034","Propionibacterium phage PHL150M00","NC_027294","isolate:PHL150M00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus', 'unclassified Pahexavirus']","DNA",29438,45,"bacteria","06/22/2015","08/13/2018","NC_027294",11,22.5454545454545
"2035","Propionibacterium phage PHL151M00","NC_027347","isolate:PHL151M00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29511,46,"bacteria","06/24/2015","05/02/2019","NC_027347",11,27.7272727272727
"2036","Propionibacterium phage PHL151N00","NC_041957","isolate:PHL151N00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29511,46,"bacteria","05/02/2019","05/02/2019","NC_041957",11,27.7272727272727
"2037","Propionibacterium phage PHL152M00","NC_027386","isolate:PHL152M00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29247,45,"bacteria","06/24/2015","08/13/2018","NC_027386",12,21.25
"2038","Propionibacterium phage PHL163M00","NC_027405","isolate:PHL163M00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29264,46,"bacteria","06/24/2015","05/02/2019","NC_027405",10,33.4
"2039","Propionibacterium phage PHL171M01","NC_027346","isolate:PHL171M01","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29327,45,"bacteria","06/24/2015","08/13/2018","NC_027346",12,21
"2040","Propionibacterium phage PHL179M00","NC_027370","isolate:PHL179M00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29428,45,"bacteria","06/24/2015","08/13/2018","NC_027370",11,22.5454545454545
"2041","Propionibacterium phage PHL194M00","NC_027392","isolate:PHL194M00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29264,45,"bacteria","06/24/2015","05/02/2019","NC_027392",10,33.4
"2042","Propionibacterium phage PHL199M00","NC_027295","isolate:PHL199M00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29806,45,"bacteria","06/24/2015","08/13/2018","NC_027295",12,21
"2043","Propionibacterium phage PHL301M00","NC_027354","isolate:PHL301M00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29323,45,"bacteria","06/24/2015","08/13/2018","NC_027354",13,19.4615384615385
"2044","Propionibacterium phage PHL308M00","NC_027376","isolate:PHL308M00","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29442,45,"bacteria","06/24/2015","05/02/2019","NC_027376",11,22.5454545454545
"2045","Propionibacterium phage Pacnes 2012-15","NC_027371","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29741,45,"bacteria","06/24/2015","08/13/2018","NC_027371",7,11.7142857142857
"2046","Propionibacterium phage Pirate","NC_027623","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29324,44,"bacteria","07/28/2015","08/19/2019","NC_027623",14,39.3571428571429
"2047","Propionibacterium phage Procrass1","NC_027626","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29347,45,"bacteria","07/28/2015","04/10/2019","NC_027626",12,45.5
"2048","Propionibacterium phage QueenBey","NC_031005","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus', 'unclassified Pahexavirus']","DNA",29338,43,"bacteria","09/23/2016","08/19/2019","NC_031005",12,47.5833333333333
"2049","Propionibacterium phage SKKY","NC_027624","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29594,47,"bacteria","07/28/2015","04/10/2019","NC_027624",12,52.75
"2050","Propionibacterium phage Solid","NC_027627","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29440,45,"bacteria","07/28/2015","04/10/2019","NC_027627",13,42.5384615384615
"2051","Propionibacterium phage Stormborn","NC_027622","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29330,46,"bacteria","07/28/2015","04/10/2019","NC_027622",14,45.5714285714286
"2052","Propionibacterium phage Wizzo","NC_027621","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Pahexavirus']","DNA",29463,44,"bacteria","07/28/2015","04/10/2019","NC_027621",12,53
"2053","Proteus phage PM 75","NC_027363","-","linear","['Viruses', 'Caudovirales', 'Podoviridae', 'Autographivirinae', 'unclassified Autographivirinae']","DNA",41480,25,"bacteria","06/24/2015","08/13/2018","NC_027363",4,5.25
"2054","Proteus phage PM 85","NC_027379","-","linear","['Viruses', 'Caudovirales', 'Podoviridae', 'Autographivirinae', 'Zindervirus', 'unclassified Zindervirus']","DNA",43642,23,"bacteria","06/24/2015","08/13/2018","NC_027379",6,28.1666666666667
"2055","Proteus phage PM 93","NC_027390","-","linear","['Viruses', 'Caudovirales', 'Podoviridae', 'Autographivirinae', 'Zindervirus', 'unclassified Zindervirus']","DNA",45169,47,"bacteria","06/24/2015","08/13/2018","NC_027390",16,52.5625
"2056","Proteus phage PM135","NC_042090","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Novosibvirus', 'Proteus virus PM135']","DNA",104329,102,"bacteria","05/02/2019","05/02/2019","NC_042090",29,7.55172413793104
"2057","Proteus phage PM16","NC_027342","-","linear","['Viruses', 'Caudovirales', 'Podoviridae', 'Autographivirinae', 'unclassified Autographivirinae']","DNA",41268,46,"bacteria","06/24/2015","08/13/2018","NC_027342",16,12.5625
"2058","Proteus phage VB_PmiS-Isfahan","NC_041925","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Nonanavirus', 'unclassified Nonanavirus']","DNA",54836,91,"bacteria","05/02/2019","05/02/2019","NC_041925",44,8.43181818181818
"2059","Proteus phage pPM_01","NC_028812","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Chivirus', 'unclassified Chivirus']","DNA",58546,70,"bacteria","01/05/2016","08/13/2018","NC_028812",25,7.2
"2060","Proteus phage vB_PmiM_Pm5461","NC_028762","-","linear","['Viruses', 'Caudovirales', 'Myoviridae', 'Tevenvirinae', 'unclassified Tevenvirinae']","DNA",161989,256,"bacteria","01/05/2016","08/13/2018","NC_028762",100,7.84
"2061","Proteus phage vB_PmiP_Pm5460","NC_028916","-","linear","['Viruses', 'Caudovirales', 'Podoviridae', 'Autographivirinae', 'Zindervirus', 'unclassified Zindervirus']","DNA",44573,53,"bacteria","01/05/2016","08/13/2018","NC_028916",20,11.1
"2062","Providencia phage Redjac","NC_018832","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Chivirus', 'unclassified Chivirus']","DNA",58104,41,"bacteria","10/15/2012","08/13/2018","NC_018832",7,4.71428571428571
"2063","Providencia phage vB_PreS_PR1","NC_041913","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Priunavirus', 'Providencia virus PR1']","DNA",118537,157,"bacteria","05/02/2019","05/02/2019","NC_041913",48,9.5625
"2064","Pseudoalteromonas phage BS5","NC_031917","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae']","DNA",39949,65,"bacteria","11/15/2016","08/13/2018","NC_031917",27,4.77777777777778
"2065","Pseudoalteromonas phage H101","NC_029094","-","linear","['Viruses', 'Caudovirales', 'Myoviridae']","DNA",131903,228,"bacteria","02/05/2016","08/13/2018","NC_029094",66,6.96969696969697
"2066","Pseudoalteromonas phage H103","NC_028819","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae']","DNA",43190,75,"bacteria","01/05/2016","08/13/2018","NC_028819",35,6.37142857142857
"2067","Pseudoalteromonas phage H105/1","NC_015293","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae']","DNA",30651,52,"bacteria","03/29/2011","08/13/2018","NC_015293",23,7.82608695652174
"2068","Pseudoalteromonas phage PH1","NC_031908","-","linear","['Viruses', 'Caudovirales', 'Podoviridae', 'Kafunavirus', 'unclassified Kafunavirus']","DNA",42685,54,"bacteria","11/15/2016","08/13/2018","NC_031908",29,11.8965517241379
"2069","Pseudoalteromonas phage Pq0","NC_029100","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae']","DNA",33399,56,"bacteria","02/05/2016","08/13/2018","NC_029100",23,7.30434782608696
"2070","Pseudoalteromonas phage RIO-1","NC_021300","-","linear","['Viruses', 'Caudovirales', 'Podoviridae']","DNA",43882,56,"bacteria","05/31/2013","08/13/2018","NC_021300",32,18.5
"2071","Pseudoalteromonas phage pYD6-A","NC_020849","strain:pYD6-A","linear","['Viruses', 'Caudovirales', 'Podoviridae']","DNA",76802,99,"bacteria","03/30/2013","08/13/2018","NC_020849",26,9.23076923076923
"2072","Pseudomonad phage gh-1","NC_004665","-","linear","['Viruses', 'Caudovirales', 'Podoviridae', 'Autographivirinae', 'Teseptimavirus']","DNA",37359,42,"bacteria","03/29/2003","08/13/2018","NC_004665",17,43.1176470588235
"2073","Pseudomonas phage 14-1","NC_011703","-","linear","['Viruses', 'Caudovirales', 'Myoviridae', 'Pbunavirus']","DNA",66235,90,"bacteria","12/14/2008","08/13/2018","NC_011703",27,3.88888888888889
"2074","Pseudomonas phage 201phi2-1","NC_010821","-","linear","['Viruses', 'Caudovirales', 'Myoviridae', 'Phikzvirus', 'unclassified Phikzvirus']","DNA",316674,461,"bacteria","06/06/2008","08/13/2018","NC_010821",124,10.0806451612903
"2075","Pseudomonas phage 73","NC_007806","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Septimatrevirus']","DNA",42999,52,"bacteria","03/03/2006","08/13/2018","NC_007806",15,11.5333333333333
"2076","Pseudomonas phage AF","NC_019923","strain:Pseudomonas putida GB-1","linear","['Viruses', 'Caudovirales', 'Podoviridae']","DNA",42689,65,"bacteria","12/19/2012","08/13/2018","NC_019923",35,7.54285714285714
"2077","Pseudomonas phage Andromeda","NC_031014","-","linear","['Viruses', 'Caudovirales', 'Podoviridae', 'Bifseptvirus', 'Pseudomonas virus Andromeda']","DNA",40008,46,"bacteria","09/23/2016","08/13/2018","NC_031014",19,8.05263157894737
"2078","Pseudomonas phage B3","NC_006548","strain:ATCC15692-B1","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Beetrevirus', 'Pseudomonas virus B3']","DNA",38439,59,"bacteria","12/17/2004","08/13/2018","NC_006548",26,42.9230769230769
"2079","Pseudomonas phage Bf7","NC_016764","-","linear","['Viruses', 'Caudovirales', 'Podoviridae', 'Bifseptvirus', 'Pseudomonas virus Bf7']","DNA",40058,46,"bacteria","02/02/2012","08/13/2018","NC_016764",22,7.81818181818182
"2080","Pseudomonas phage Bjorn","NC_042103","-","linear","['Viruses', 'Caudovirales', 'Podoviridae', 'Bjornvirus', 'Pseudomonas virus Bjorn']","DNA",45936,69,"bacteria","05/02/2019","05/02/2019","NC_042103",25,9.48
"2081","Pseudomonas phage C11","NC_028652","-","linear","['Viruses', 'Caudovirales', 'Myoviridae', 'Pakpunavirus', 'unclassified Pakpunavirus']","DNA",94109,172,"bacteria","12/17/2015","08/13/2018","NC_028652",55,5.72727272727273
"2082","Pseudomonas phage CHA_P1","NC_022974","-","linear","['Viruses', 'Caudovirales', 'Myoviridae', 'Nankokuvirus']","DNA",88255,166,"bacteria","12/04/2013","08/13/2018","NC_022974",63,8.03174603174603
"2083","Pseudomonas phage PAK_P3","NC_022970","-","linear","['Viruses', 'Caudovirales', 'Myoviridae', 'Nankokuvirus']","DNA",88097,165,"bacteria","12/04/2013","08/13/2018","NC_022970",59,8.38983050847458
"2084","Pseudomonas phage PAK_P5","NC_022966","-","linear","['Viruses', 'Caudovirales', 'Myoviridae', 'Nankokuvirus']","DNA",88135,164,"bacteria","12/04/2013","08/13/2018","NC_022966",60,9.01666666666667
"2085","Pseudomonas phage DL54","NC_028919","-","linear","['Viruses', 'Caudovirales', 'Podoviridae', 'Bruynoghevirus', 'unclassified Bruynoghevirus']","DNA",45673,71,"bacteria","01/05/2016","08/13/2018","NC_028919",30,10.7333333333333
"2086","Pseudomonas phage DL60","NC_028745","-","linear","['Viruses', 'Caudovirales', 'Myoviridae', 'Pbunavirus']","DNA",66103,89,"bacteria","01/05/2016","08/13/2018","NC_028745",26,5.5
"2087","Pseudomonas phage DL62","NC_028836","-","linear","['Viruses', 'Caudovirales', 'Podoviridae', 'Autographivirinae', 'Phikmvvirus', 'unclassified Phikmvvirus']","DNA",42508,55,"bacteria","01/05/2016","08/13/2018","NC_028836",25,10.4
"2088","Pseudomonas phage DL64","NC_028885","-","linear","['Viruses', 'Caudovirales', 'Podoviridae', 'Litunavirus', 'unclassified Litunavirus']","DNA",72378,90,"bacteria","01/05/2016","08/13/2018","NC_028885",33,5.39393939393939
"2089","Pseudomonas phage DL68","NC_028971","-","linear","['Viruses', 'Caudovirales', 'Myoviridae', 'Pbunavirus']","DNA",66111,92,"bacteria","01/05/2016","08/13/2018","NC_028971",23,3.8695652173913
"2090","Pseudomonas phage EL","NC_007623","-","circular","['Viruses', 'Caudovirales', 'Myoviridae', 'Elvirus']","DNA",211215,201,"bacteria","11/24/2005","08/13/2018","NC_007623",25,9.4
"2091","Pseudomonas phage F10","NC_007805","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae']","DNA",39199,63,"bacteria","03/03/2006","08/13/2018","NC_007805",39,17.7435897435897
"2092","Pseudomonas phage F8","NC_007810","-","linear","['Viruses', 'Caudovirales', 'Myoviridae', 'Pbunavirus']","DNA",66015,91,"bacteria","03/03/2006","08/13/2018","NC_007810",29,10.4827586206897
"2093","Pseudomonas phage H70","NC_027384","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Casadabanvirus', 'unclassified Casadabanvirus']","DNA",37359,58,"bacteria","06/24/2015","08/13/2018","NC_027384",28,5.46428571428571
"2094","Pseudomonas phage JBD18","NC_027986","strain:JBD18","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Beetrevirus', 'unclassified Beetrevirus']","DNA",39014,52,"bacteria","10/08/2015","08/13/2018","NC_027986",23,6.82608695652174
"2095","Pseudomonas phage JBD24","NC_020203","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Casadabanvirus', 'unclassified Casadabanvirus']","DNA",37095,58,"bacteria","02/05/2013","08/13/2018","NC_020203",27,7
"2096","Pseudomonas phage JBD25","NC_027992","strain:JBD25","linear","['Viruses', 'Caudovirales', 'Siphoviridae']","DNA",39552,55,"bacteria","10/08/2015","08/13/2018","NC_027992",28,9.28571428571429
"2097","Pseudomonas phage JBD30","NC_020198","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Casadabanvirus', 'unclassified Casadabanvirus']","DNA",36947,56,"bacteria","02/05/2013","08/13/2018","NC_020198",27,6.62962962962963
"2098","Pseudomonas phage JBD44","NC_030929","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae']","DNA",49033,80,"bacteria","09/19/2016","08/13/2018","NC_030929",43,7.37209302325581
"2099","Pseudomonas phage JBD5","NC_020202","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Casadabanvirus', 'unclassified Casadabanvirus']","DNA",37740,59,"bacteria","02/05/2013","08/13/2018","NC_020202",26,5.34615384615385
"2100","Pseudomonas phage JBD67","NC_042135","strain:JBD67","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Beetrevirus', 'Pseudomonas virus JBD67']","DNA",38232,52,"bacteria","05/02/2019","05/02/2019","NC_042135",20,5.85
"2101","Pseudomonas phage JBD69","NC_030908","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Casadabanvirus', 'unclassified Casadabanvirus']","DNA",36938,57,"bacteria","09/19/2016","08/13/2018","NC_030908",27,7.07407407407407
"2102","Pseudomonas phage JBD88a","NC_020200","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Casadabanvirus', 'unclassified Casadabanvirus']","DNA",36429,55,"bacteria","02/05/2013","08/13/2018","NC_020200",25,6
"2103","Pseudomonas phage JBD93","NC_030918","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Casadabanvirus', 'unclassified Casadabanvirus']","DNA",36629,55,"bacteria","09/19/2016","08/13/2018","NC_030918",26,5.53846153846154
"2104","Pseudomonas phage JD024","NC_024330","-","linear","['Viruses', 'Caudovirales', 'Siphoviridae', 'Casadabanvirus', 'unclassified Casadabanvirus']","DNA",37380,58,"bacteria","06/23/2014","08/13/2018","NC_024330",25,5.8
"2105","Pseudomonas phage JG004","NC_019450","strain:JG004","linear","['Viruses', 'Caudovirales', 'Myoviridae', 'Pakpunavirus']","DNA",93017,161,"bacteria","11/16/2012","08/13/2018","NC_019450",54,13.2407407407407
