,Unnamed: 0,Genome,Accession,Source.information,Topology,Taxonomy,Molecule.type,Genome.length,Number.of.proteins,Host,Date.completed,Date.updated,first.acc,n.overlaps,len.overlaps,baltimore.class,family
1783,1784,Mycobacterium phage Tweety,NC_009820,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus']",DNA,58692,109.0,bacteria,09/18/2007,08/13/2018,NC_009820,62.0,16.0161290322581,ds_DNA,Siphoviridae
1784,1785,Mycobacterium phage Twister,NC_041982,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,51094,87.0,bacteria,05/02/2019,05/02/2019,NC_041982,43.0,22.8372093023256,ds_DNA,Siphoviridae
1785,1786,Mycobacterium phage U2,NC_009877,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,51277,81.0,bacteria,10/02/2007,06/26/2019,NC_009877,32.0,11.0625,ds_DNA,Siphoviridae
1786,1787,Mycobacterium phage UnionJack,NC_028802,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus', 'unclassified Fromanvirus']",DNA,49158,86.0,bacteria,01/05/2016,03/16/2019,NC_028802,49.0,18.448979591836697,ds_DNA,Siphoviridae
1787,1788,Mycobacterium phage Validus,NC_023498,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Timquatrovirus', 'unclassified Timquatrovirus']",DNA,62466,105.0,bacteria,02/27/2014,05/12/2019,NC_023498,53.0,15.603773584905698,ds_DNA,Siphoviridae
1788,1789,Mycobacterium phage Velveteen,NC_022060,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus', 'unclassified Cheoctovirus']",DNA,54314,100.0,bacteria,08/14/2013,05/12/2019,NC_022060,64.0,13.5,ds_DNA,Siphoviridae
1789,1790,Mycobacterium phage Vincenzo,NC_028934,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Bclasvirinae', 'Coopervirus']",DNA,72139,98.0,bacteria,01/05/2016,04/03/2019,NC_028934,43.0,4.7906976744186,ds_DNA,Siphoviridae
1790,1791,Mycobacterium phage Violet,NC_023695,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,52481,90.0,bacteria,03/11/2014,05/12/2019,NC_023695,50.0,18.2,ds_DNA,Siphoviridae
1791,1792,Mycobacterium phage VohminGhazi,NC_029077,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus', 'unclassified Fromanvirus']",DNA,52155,100.0,bacteria,02/05/2016,03/16/2019,NC_029077,53.0,17.0377358490566,ds_DNA,Siphoviridae
1792,1793,Mycobacterium phage Vortex,NC_028801,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Bclasvirinae', 'Pegunavirus', 'unclassified Pegunavirus']",DNA,68346,99.0,bacteria,01/05/2016,04/03/2019,NC_028801,41.0,5.80487804878049,ds_DNA,Siphoviridae
1793,1794,Mycobacterium phage WIVsmall,NC_021334,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus', 'unclassified Cheoctovirus']",DNA,53359,83.0,bacteria,06/03/2013,08/13/2018,NC_021334,34.0,204.64705882352902,ds_DNA,Siphoviridae
1794,1795,Mycobacterium phage Wanda,NC_022067,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Omegavirus', 'unclassified Omegavirus']",DNA,109960,240.0,bacteria,08/14/2013,05/16/2019,NC_022067,134.0,10.5373134328358,ds_DNA,Siphoviridae
1795,1796,Mycobacterium phage Wee,NC_014901,strain:Wee,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus']",DNA,59230,109.0,bacteria,01/13/2011,05/16/2019,NC_014901,65.0,13.307692307692301,ds_DNA,Siphoviridae
1796,1797,Mycobacterium phage Wheeler,NC_022070,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus', 'unclassified Fromanvirus']",DNA,53588,96.0,bacteria,08/14/2013,03/16/2019,NC_022070,53.0,22.037735849056602,ds_DNA,Siphoviridae
1797,1798,Mycobacterium phage Whirlwind,NC_022052,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Bronvirus', 'unclassified Bronvirus']",DNA,76050,128.0,bacteria,08/14/2013,05/12/2019,NC_022052,61.0,12.901639344262302,ds_DNA,Siphoviridae
1798,1799,Mycobacterium phage Wildcat,NC_008206,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Wildcatvirus']",DNA,78296,148.0,bacteria,06/22/2006,05/12/2019,NC_008206,69.0,7.42028985507246,ds_DNA,Siphoviridae
1799,1800,Mycobacterium phage Wile,NC_023709,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus', 'unclassified Fromanvirus']",DNA,51308,85.0,bacteria,03/11/2014,03/16/2019,NC_023709,43.0,19.3720930232558,ds_DNA,Siphoviridae
1800,1801,Mycobacterium phage XFactor,NC_028910,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus', 'unclassified Cheoctovirus']",DNA,55617,95.0,bacteria,01/05/2016,05/16/2019,NC_028910,53.0,17.4339622641509,ds_DNA,Siphoviridae
1801,1802,Mycobacterium phage Xeno,NC_031243,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Nclasvirinae', 'Charlievirus']",DNA,42395,69.0,bacteria,09/27/2016,05/16/2019,NC_031243,44.0,16.5454545454545,ds_DNA,Siphoviridae
1802,1803,Mycobacterium phage Zaka,NC_022985,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus', 'unclassified Fromanvirus']",DNA,52122,101.0,bacteria,12/04/2013,03/16/2019,NC_022985,57.0,19.4736842105263,ds_DNA,Siphoviridae
1803,1804,Mycobacterium phage Zemanar,NC_042035,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Bclasvirinae', 'Coopervirus']",DNA,71092,95.0,bacteria,05/02/2019,05/02/2019,NC_042035,47.0,10.468085106382999,ds_DNA,Siphoviridae
1804,1805,Mycobacterium phage ZoeJ,NC_024147,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Timquatrovirus', 'unclassified Timquatrovirus']",DNA,57315,92.0,bacteria,05/27/2014,05/12/2019,NC_024147,42.0,16.309523809523803,ds_DNA,Siphoviridae
1805,1806,Mycobacterium phage vB_MapS_FF47,NC_021063,-,circular,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Mapvirus']",DNA,47724,73.0,bacteria,04/16/2013,08/13/2018,NC_021063,46.0,12.1739130434783,ds_DNA,Siphoviridae
1806,1807,Mycobacterium virus 244,NC_008194,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Kostyavirus']",DNA,74483,142.0,bacteria,06/20/2006,08/13/2018,NC_008194,77.0,13.0,ds_DNA,Siphoviridae
1807,1808,Mycobacterium virus Acadian,NC_023701,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Bclasvirinae', 'Acadianvirus']",DNA,69864,97.0,bacteria,03/11/2014,04/03/2019,NC_023701,48.0,3.5208333333333304,ds_DNA,Siphoviridae
1808,1809,Mycobacterium virus Alma,NC_023716,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,53177,96.0,bacteria,03/11/2014,06/26/2019,NC_023716,50.0,16.6,ds_DNA,Siphoviridae
1809,1810,Mycobacterium virus Anaya,NC_042031,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Timquatrovirus']",DNA,60835,98.0,bacteria,05/02/2019,05/02/2019,NC_042031,48.0,15.5625,ds_DNA,Siphoviridae
1810,1811,Mycobacterium virus Angelica,NC_014458,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Timquatrovirus']",DNA,59598,94.0,bacteria,08/20/2010,05/12/2019,NC_014458,45.0,14.8,ds_DNA,Siphoviridae
1811,1812,Mycobacterium virus Ardmore,NC_013936,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus']",DNA,52141,87.0,bacteria,03/16/2010,08/13/2018,NC_013936,46.0,6.78260869565217,ds_DNA,Siphoviridae
1812,1813,Mycobacterium virus Arturo,NC_042339,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,51500,86.0,bacteria,05/24/2019,05/24/2019,NC_042339,39.0,19.282051282051302,ds_DNA,Siphoviridae
1813,1814,Mycobacterium virus Astro,NC_042337,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,52494,99.0,bacteria,05/24/2019,05/24/2019,NC_042337,53.0,15.792452830188699,ds_DNA,Siphoviridae
1814,1815,Mycobacterium virus Avani,NC_023698,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus']",DNA,54470,107.0,bacteria,03/11/2014,08/13/2018,NC_023698,73.0,13.0,ds_DNA,Siphoviridae
1815,1816,Mycobacterium virus BBPiebs31,NC_042327,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,53171,96.0,bacteria,05/24/2019,05/24/2019,NC_042327,54.0,13.907407407407401,ds_DNA,Siphoviridae
1816,1817,Mycobacterium virus Babsiella,NC_023697,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Chebruvirinae', 'Brujitavirus']",DNA,48420,78.0,bacteria,03/11/2014,08/13/2018,NC_023697,49.0,21.3469387755102,ds_DNA,Siphoviridae
1817,1818,Mycobacterium virus Backyardigan,NC_042308,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,51308,84.0,bacteria,05/24/2019,05/24/2019,NC_042308,38.0,22.157894736842103,ds_DNA,Siphoviridae
1818,1819,Mycobacterium virus Baka,NC_042316,strain:Baka,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Omegavirus']",DNA,111688,242.0,bacteria,05/24/2019,05/24/2019,NC_042316,129.0,10.5271317829457,ds_DNA,Siphoviridae
1819,1820,Mycobacterium virus Bask21,NC_041846,strain:Bask21,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Kostyavirus']",DNA,74997,147.0,bacteria,05/02/2019,05/02/2019,NC_041846,83.0,6.36144578313253,ds_DNA,Siphoviridae
1820,1821,Mycobacterium virus Benedict,NC_042331,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,51083,90.0,bacteria,05/24/2019,05/24/2019,NC_042331,49.0,17.0408163265306,ds_DNA,Siphoviridae
1821,1822,Mycobacterium virus Bethlehem,NC_009878,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,52250,87.0,bacteria,10/02/2007,08/13/2018,NC_009878,42.0,7.90476190476191,ds_DNA,Siphoviridae
1822,1823,Mycobacterium virus Billknuckles,NC_023739,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,51821,86.0,bacteria,03/11/2014,03/16/2019,NC_023739,39.0,13.6410256410256,ds_DNA,Siphoviridae
1823,1824,Mycobacterium virus Boomer,NC_011054,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus']",DNA,58037,105.0,bacteria,07/17/2008,05/12/2019,NC_011054,60.0,8.63333333333333,ds_DNA,Siphoviridae
1824,1825,Mycobacterium virus Bron,NC_014461,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Bronvirus']",DNA,73453,123.0,bacteria,08/20/2010,05/12/2019,NC_014461,47.0,15.2765957446809,ds_DNA,Siphoviridae
1825,1826,Mycobacterium virus Brujita,NC_011291,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Chebruvirinae', 'Brujitavirus']",DNA,47057,74.0,bacteria,09/25/2008,08/13/2018,NC_011291,41.0,5.07317073170732,ds_DNA,Siphoviridae
1826,1827,Mycobacterium virus Bruns,NC_023687,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,53003,96.0,bacteria,03/11/2014,03/16/2019,NC_023687,56.0,14.339285714285701,ds_DNA,Siphoviridae
1827,1828,Mycobacterium virus Bxb1,NC_002656,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,50550,86.0,bacteria,01/28/2001,08/13/2018,NC_002656,44.0,17.136363636363598,ds_DNA,Siphoviridae
1828,1829,Mycobacterium virus Bxz2,NC_004682,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,50913,86.0,bacteria,04/05/2003,08/13/2018,NC_004682,34.0,7.941176470588241,ds_DNA,Siphoviridae
1829,1830,Mycobacterium virus CJW1,NC_004681,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Kostyavirus']",DNA,75931,141.0,bacteria,04/05/2003,08/13/2018,NC_004681,75.0,13.466666666666699,ds_DNA,Siphoviridae
1830,1831,Mycobacterium virus Che12,NC_008203,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,52047,98.0,bacteria,06/21/2006,08/13/2018,NC_008203,49.0,4.40816326530612,ds_DNA,Siphoviridae
1831,1832,Mycobacterium virus Che8,NC_004680,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus']",DNA,59471,112.0,bacteria,04/05/2003,08/13/2018,NC_004680,70.0,6.7285714285714295,ds_DNA,Siphoviridae
1832,1833,Mycobacterium virus Che9c,NC_004683,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Chenonavirus']",DNA,57050,84.0,bacteria,04/05/2003,08/13/2018,NC_004683,52.0,7.26923076923077,ds_DNA,Siphoviridae
1833,1834,Mycobacterium virus Che9d,NC_004686,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus']",DNA,56275,111.0,bacteria,04/05/2003,08/13/2018,NC_004686,74.0,14.527027027027,ds_DNA,Siphoviridae
1834,1835,Mycobacterium virus Corndog,NC_004685,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Corndogvirus']",DNA,69777,122.0,bacteria,04/05/2003,08/13/2018,NC_004685,61.0,12.704918032786901,ds_DNA,Siphoviridae
1835,1836,Mycobacterium virus Courthouse,NC_023690,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Omegavirus']",DNA,110569,241.0,bacteria,03/11/2014,05/16/2019,NC_023690,134.0,10.0746268656716,ds_DNA,Siphoviridae
1836,1837,Mycobacterium virus Crimd,NC_014459,strain:CrimD,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Timquatrovirus']",DNA,59798,95.0,bacteria,08/20/2010,05/12/2019,NC_014459,48.0,16.1041666666667,ds_DNA,Siphoviridae
1837,1838,Mycobacterium virus Cuco,NC_042333,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,50965,86.0,bacteria,05/24/2019,05/24/2019,NC_042333,43.0,18.3023255813953,ds_DNA,Siphoviridae
1838,1839,Mycobacterium virus D29,NC_001900,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,49136,79.0,bacteria,06/02/1998,08/13/2018,NC_001900,38.0,4.6315789473684195,ds_DNA,Siphoviridae
1839,1840,Mycobacterium virus Deadp,NC_023728,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus']",DNA,56461,106.0,bacteria,03/11/2014,05/16/2019,NC_023728,56.0,14.392857142857098,ds_DNA,Siphoviridae
1840,1841,Mycobacterium virus Dlane,NC_042317,strain:DLane,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus']",DNA,58899,105.0,bacteria,05/24/2019,05/24/2019,NC_042317,56.0,15.464285714285701,ds_DNA,Siphoviridae
1841,1842,Mycobacterium virus Doom,NC_023704,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,51421,85.0,bacteria,03/11/2014,03/16/2019,NC_023704,44.0,17.363636363636402,ds_DNA,Siphoviridae
1842,1843,Mycobacterium virus Dorothy,NC_041855,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus']",DNA,58866,104.0,bacteria,05/02/2019,05/02/2019,NC_041855,62.0,13.725806451612899,ds_DNA,Siphoviridae
1843,1844,Mycobacterium virus Dotproduct,NC_042336,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus']",DNA,55363,98.0,bacteria,05/24/2019,05/24/2019,NC_042336,54.0,16.1666666666667,ds_DNA,Siphoviridae
1844,1845,Mycobacterium virus Drago,NC_023721,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus']",DNA,54411,103.0,bacteria,03/11/2014,05/12/2019,NC_023721,64.0,13.421875,ds_DNA,Siphoviridae
1845,1846,Mycobacterium virus Ericb,NC_042330,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,51702,97.0,bacteria,05/24/2019,05/24/2019,NC_042330,47.0,20.276595744680897,ds_DNA,Siphoviridae
1846,1847,Mycobacterium virus Euphoria,NC_023726,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,53597,94.0,bacteria,03/11/2014,03/16/2019,NC_023726,49.0,16.2448979591837,ds_DNA,Siphoviridae
1847,1848,Mycobacterium virus Eureka,NC_041850,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Kostyavirus']",DNA,76174,145.0,bacteria,05/02/2019,05/02/2019,NC_041850,75.0,8.62666666666667,ds_DNA,Siphoviridae
1848,1849,Mycobacterium virus Faith1,NC_015584,strain:Faith1,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Bronvirus']",DNA,75960,129.0,bacteria,06/29/2011,05/12/2019,NC_015584,58.0,13.3793103448276,ds_DNA,Siphoviridae
1849,1850,Mycobacterium virus Fionnbarth,NC_027365,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Timquatrovirus']",DNA,58076,94.0,bacteria,06/24/2015,05/12/2019,NC_027365,49.0,14.6530612244898,ds_DNA,Siphoviridae
1850,1851,Mycobacterium virus Firecracker,NC_023712,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Corndogvirus']",DNA,71341,128.0,bacteria,03/11/2014,05/16/2019,NC_023712,72.0,10.0138888888889,ds_DNA,Siphoviridae
1851,1852,Mycobacterium virus Fruitloop,NC_011288,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus']",DNA,58471,102.0,bacteria,09/25/2008,08/13/2018,NC_011288,47.0,18.4042553191489,ds_DNA,Siphoviridae
1852,1853,Mycobacterium virus George,NC_042312,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,51578,82.0,bacteria,05/24/2019,05/24/2019,NC_042312,39.0,15.0,ds_DNA,Siphoviridae
1853,1854,Mycobacterium virus Gladiator,NC_042309,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,52213,96.0,bacteria,05/24/2019,05/24/2019,NC_042309,54.0,20.092592592592602,ds_DNA,Siphoviridae
1854,1855,Mycobacterium virus Goose,NC_042340,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,50645,86.0,bacteria,05/24/2019,05/24/2019,NC_042340,42.0,26.9761904761905,ds_DNA,Siphoviridae
1855,1856,Mycobacterium virus Gumbie,NC_023746,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus']",DNA,57387,104.0,bacteria,04/10/2014,05/16/2019,NC_023746,62.0,14.1612903225806,ds_DNA,Siphoviridae
1856,1857,Mycobacterium virus Halo,NC_008202,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Liefievirus']",DNA,42289,64.0,bacteria,06/21/2006,08/13/2018,NC_008202,41.0,18.560975609756103,ds_DNA,Siphoviridae
1857,1858,Mycobacterium virus Hammer,NC_042318,strain:Hammer,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,51889,104.0,bacteria,05/24/2019,05/24/2019,NC_042318,57.0,17.1228070175439,ds_DNA,Siphoviridae
1858,1859,Mycobacterium virus Heldan,NC_042328,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,50364,89.0,bacteria,05/24/2019,05/24/2019,NC_042328,37.0,23.6756756756757,ds_DNA,Siphoviridae
1859,1860,Mycobacterium virus I3,NC_043545,-,linear,"['Viruses', 'Caudovirales', 'Myoviridae', 'Bixzunavirus']",DNA,2317,2.0,bacteria,10/09/1992,06/28/2019,NC_043545,0.0,,ds_DNA,Myoviridae
1860,1861,Mycobacterium virus Ibhubesi,NC_042319,strain:Ibhubesi,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus']",DNA,55600,103.0,bacteria,05/24/2019,05/24/2019,NC_042319,59.0,13.796610169491501,ds_DNA,Siphoviridae
1861,1862,Mycobacterium virus JC27,NC_042320,strain:JC27,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,52169,97.0,bacteria,05/24/2019,05/24/2019,NC_042320,49.0,15.163265306122401,ds_DNA,Siphoviridae
1862,1863,Mycobacterium virus JHC117,NC_042310,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,50877,85.0,bacteria,05/24/2019,05/24/2019,NC_042310,32.0,18.125,ds_DNA,Siphoviridae
1863,1864,Mycobacterium virus Jasper,NC_011020,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,50968,94.0,bacteria,06/25/2008,03/16/2019,NC_011020,49.0,14.6326530612245,ds_DNA,Siphoviridae
1864,1865,Mycobacterium virus Jaws,NC_042332,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Timquatrovirus']",DNA,59749,94.0,bacteria,05/24/2019,05/24/2019,NC_042332,46.0,15.5,ds_DNA,Siphoviridae
1865,1866,Mycobacterium virus Jeffabunny,NC_042334,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,48963,92.0,bacteria,05/24/2019,05/24/2019,NC_042334,52.0,15.423076923076902,ds_DNA,Siphoviridae
1866,1867,Mycobacterium virus Joedirt,NC_042313,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Bronvirus']",DNA,74914,126.0,bacteria,05/24/2019,05/24/2019,NC_042313,51.0,16.6666666666667,ds_DNA,Siphoviridae
1867,1868,Mycobacterium virus KBG,NC_011019,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,53572,89.0,bacteria,06/25/2008,03/16/2019,NC_011019,46.0,18.2391304347826,ds_DNA,Siphoviridae
1868,1869,Mycobacterium virus Kostya,NC_011056,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Kostyavirus']",DNA,75811,143.0,bacteria,07/17/2008,05/12/2019,NC_011056,69.0,6.65217391304348,ds_DNA,Siphoviridae
1869,1870,Mycobacterium virus Kssjeb,NC_042326,strain:KSSJEB,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,51381,92.0,bacteria,05/24/2019,05/24/2019,NC_042326,43.0,16.6976744186047,ds_DNA,Siphoviridae
1870,1871,Mycobacterium virus Kugel,NC_023702,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,52379,95.0,bacteria,03/11/2014,06/26/2019,NC_023702,47.0,19.063829787234003,ds_DNA,Siphoviridae
1871,1872,Mycobacterium virus L5,NC_001335,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,52297,90.0,bacteria,02/23/1993,08/13/2018,NC_001335,39.0,14.0,ds_DNA,Siphoviridae
1872,1873,Mycobacterium virus Larva,NC_023724,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Timquatrovirus']",DNA,62991,97.0,bacteria,03/11/2014,05/12/2019,NC_023724,39.0,20.5128205128205,ds_DNA,Siphoviridae
1873,1874,Mycobacterium virus Lesedi,NC_042321,strain:Lesedi,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,50486,89.0,bacteria,05/24/2019,05/24/2019,NC_042321,44.0,19.75,ds_DNA,Siphoviridae
1874,1875,Mycobacterium virus Liefie,NC_023705,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Liefievirus']",DNA,41650,61.0,bacteria,03/11/2014,05/12/2019,NC_023705,34.0,18.4411764705882,ds_DNA,Siphoviridae
1875,1876,Mycobacterium virus Littlee,NC_042322,strain:LittleE,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Omegavirus']",DNA,109086,229.0,bacteria,05/24/2019,05/24/2019,NC_042322,126.0,9.952380952380949,ds_DNA,Siphoviridae
1876,1877,Mycobacterium virus Llij,NC_008196,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus']",DNA,56852,100.0,bacteria,06/21/2006,08/13/2018,NC_008196,59.0,5.3728813559322,ds_DNA,Siphoviridae
1877,1878,Mycobacterium virus Macncheese,NC_042338,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Timquatrovirus']",DNA,61567,99.0,bacteria,05/24/2019,05/24/2019,NC_042338,50.0,15.24,ds_DNA,Siphoviridae
1878,1879,Mycobacterium virus Marcell,NC_041853,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,49186,83.0,bacteria,05/02/2019,05/02/2019,NC_041853,46.0,18.2391304347826,ds_DNA,Siphoviridae
1879,1880,Mycobacterium virus Microwolf,NC_042311,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,50864,85.0,bacteria,05/24/2019,05/24/2019,NC_042311,32.0,19.25,ds_DNA,Siphoviridae
1880,1881,Mycobacterium virus Mozy,NC_042323,strain:Mozy,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus']",DNA,57278,108.0,bacteria,05/24/2019,05/24/2019,NC_042323,61.0,15.1967213114754,ds_DNA,Siphoviridae
1881,1882,Mycobacterium virus Mrgordo,NC_042329,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,50988,92.0,bacteria,05/24/2019,05/24/2019,NC_042329,50.0,15.54,ds_DNA,Siphoviridae
1882,1883,Mycobacterium virus Museum,NC_042324,strain:Museum,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,51426,90.0,bacteria,05/24/2019,05/24/2019,NC_042324,50.0,12.94,ds_DNA,Siphoviridae
1883,1884,Mycobacterium virus Mutaforma13,NC_041847,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Cheoctovirus']",DNA,57701,106.0,bacteria,05/02/2019,05/02/2019,NC_041847,61.0,13.5409836065574,ds_DNA,Siphoviridae
1884,1885,Mycobacterium virus Nepal,NC_041852,-,circular,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Fromanvirus']",DNA,53972,100.0,bacteria,05/02/2019,05/02/2019,NC_041852,55.0,7.76363636363636,ds_DNA,Siphoviridae
1885,1886,Mycobacterium virus Omega,NC_004688,-,linear,"['Viruses', 'Caudovirales', 'Siphoviridae', 'Omegavirus']",DNA,110865,237.0,bacteria,04/05/2003,08/13/2018,NC_004688,127.0,6.37795275590551,ds_DNA,Siphoviridae
